,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
ADANIENT.NS,1.0,0.7854974788752943,0.1307945110882333,0.20256844086179795,0.1884579176509875,0.1337510589520583,0.25194173804528913,0.2867277942022346,0.33389515928161745,0.16687981658781142,0.044837169177184354,0.3022718776517883,0.07256107370800974,0.23104550372053884,0.2175911245174521,0.2322260851487413,0.12809325194147891,0.21843955972439053,0.2883974712598219,0.16141733562225086,0.176222395477479,-0.011216444286909974,0.22302585680570455,0.242431963066624,0.0959625176446378,0.024177119243966805,0.26732356945631525,0.15723885968261989,0.23782226670523318,0.2360203793590887,0.2135352524527759,0.07961898071824365,0.32108002849773276,0.26954325950749586,0.22345979604147584,0.33307033946154785,0.2667669645630367,0.41381266683464346,0.2433228320907458,0.14036536336098937,0.1195151356154979,0.2292807552445353,0.11480484838058368,0.1255964068032838,0.18681251475308694,0.1376805885249246,0.2283336607192581,0.14258731407596603
ADANIPORTS.NS,0.7854974788752943,1.0,0.17424210493335934,0.21594121166791086,0.31195301474449405,0.13476823685596914,0.3190374261156701,0.36729161743224314,0.4846573477878441,0.2483318219414324,0.06469258352057748,0.4024480071215156,0.08708788784383932,0.20723216842972478,0.2510732624623112,0.3209178336385978,0.15623329972820424,0.30069207964671724,0.2884472356931897,0.21331049672377905,0.24972464343348727,0.03912488019153318,0.32767532570155844,0.34816203486839237,0.12318854877860634,0.10791985842458496,0.326271776631189,0.2323599877852584,0.35872394368089294,0.28439285657691954,0.25595516348262665,0.0787693121316087,0.46261520256048355,0.39242067828723537,0.3893683842981771,0.4032516950994751,0.32694813834263714,0.541260274735962,0.33944927238549355,0.2094856268869433,0.16255195847892867,0.32551945498333684,0.12160988031773359,0.13312920351704277,0.2803174974482131,0.1972051440083285,0.3253034606349924,0.19513801056578572
APOLLOHOSP.NS,0.1307945110882333,0.17424210493335934,1.0,0.24209033097040641,0.14933467987987173,0.19370696406144414,0.2080597510770001,0.22031231143558105,0.2181186524174737,0.18953761666194482,0.22635695765659336,0.18868763451114431,0.21570539597232447,0.2231993841221856,0.2018814301714432,0.25976242100357405,0.20656353561071095,0.09282617333903274,0.11681742715231645,0.20225685742212166,0.10398428082028331,0.12628996344264481,0.12043367938711634,0.09813507683555962,0.10030661165211663,0.1546052593112309,0.24924537207383374,0.15774860930154674,0.18463226255364482,0.2237719083866103,0.15040344283319224,0.2387623843660191,0.17214144956157207,0.15026196442988163,0.20955065666296696,0.22883678987669928,0.14968080268312578,0.1764129185132132,0.20676863599195625,0.2839878337865652,0.14543188761564751,0.22099010458921872,0.10794761877994785,0.20111118805750583,0.224079737070009,0.11444692700770591,0.23857527448281823,0.20410386073529505
ASIANPAINT.NS,0.20256844086179795,0.21594121166791086,0.24209033097040641,1.0,0.10404127961949343,0.12099378637413477,0.2914477894871207,0.26236096116249435,0.13669328107285567,0.11426721769056693,0.09945707286264392,0.14287466197934878,0.05999776949147165,0.2048379276403613,0.10926363184048553,0.2889567984289867,0.11547225225432338,0.2058167737288859,0.17368283113098068,0.14987074093209302,0.09193256442141211,0.3010383952568572,0.15447395371927147,0.1955923991172643,0.12542131393158779,0.20413240280171796,0.19696645175687386,0.1867712888559225,0.15832956114211258,0.10997625014916852,0.20917140890034625,0.2940999425812608,0.18887621068028884,0.09615364038084613,0.10806434886132148,0.2455990340614515,0.17919563588984552,0.10486830087549645,0.18061929803389992,0.16062010646627303,0.27085285642766643,0.1621795810488477,0.1794138272423889,0.15225566345441233,0.28200863587743147,0.22301094399772584,0.2144125982266085,0.13328089248365058
AXISBANK.NS,0.1884579176509875,0.31195301474449405,0.14933467987987173,0.10404127961949343,1.0,0.18802087167445,0.3040895905105104,0.3665634526173702,0.3162942479608316,0.2362159667920361,0.09164443506749573,0.3241531581379477,0.06174870070864839,0.2673076103026287,0.13168342839405114,0.34657540611396725,0.1325254914583849,0.39531333120348117,0.2135952186385747,0.1633591630187993,0.2255277991302667,0.08167582343096445,0.589609856286591,0.36573768838326537,0.1066336773398701,0.20086037112209976,0.32835192077079,0.2896245107959933,0.31854705078714096,0.26483604390541826,0.2532730891862323,0.13152578925671285,0.34104910622196877,0.29961324027021785,0.2462283524702386,0.40655741817100094,0.2267465968867337,0.4937763655631712,0.372496621974635,0.10530711526584234,0.169976346375076,0.33188980813391017,0.1477074536229453,0.11603969016427558,0.1753689001328543,0.19758307193111235,0.3217839789071783,0.20874258346430213
BAJAJ-AUTO.NS,0.1337510589520583,0.13476823685596914,0.19370696406144414,0.12099378637413477,0.18802087167445,1.0,0.14838379600711585,0.1840053730168816,0.17971764433498857,0.24191416228968277,0.05068368491701774,0.22197569186178065,0.14082652396135184,0.2816670237512778,0.12814595619672708,0.20082531477927548,0.12290770045361334,0.14917953791047417,0.17104623226712146,0.40486010378312504,0.17871405535845503,0.11338070657605938,0.0725719583346368,0.17615519461347467,0.027658569205491215,0.16498790847091618,0.22825640822887147,0.08587802193845065,0.1835292462923728,0.2826140724356613,0.33180477398539193,0.1849004037727433,0.20593522038183684,0.18464432656806803,0.16487603308835114,0.20733500929748216,0.18182997389815544,0.13140500872487015,0.2393947857264833,0.16191248070868464,0.1696070607312567,0.2745049913782139,0.05746509030331979,0.046246467834578205,0.1847429353874293,0.20021150640550722,0.21060200534845627,0.08978736826970032
BAJFINANCE.NS,0.25194173804528913,0.3190374261156701,0.2080597510770001,0.2914477894871207,0.3040895905105104,0.14838379600711585,1.0,0.759200722036741,0.21872939716770087,0.23146759890534144,0.031353380209146305,0.22969582380456924,0.05561303823226491,0.12723492224086658,0.18463588857932314,0.329932410263594,0.17330112671363282,0.3089588859704793,0.2476444042529852,0.1619446252157601,0.201303775481735,0.09924658000598262,0.32516128746870776,0.3455410465269348,0.194788072274171,0.1945012072129488,0.300779647039228,0.2840293195673465,0.2526138942373936,0.24163914090645583,0.2331039645844539,0.20519976941745421,0.2723388884720925,0.2450981830499379,0.17061989275514444,0.34463788258803457,0.2979700731946887,0.35110576823155204,0.366238149734798,0.1492679909906333,0.2111094765336385,0.2802258927592036,0.20259403506401716,0.17169284362836462,0.29896902108644074,0.22991874466817958,0.3547009151138426,0.22101996792183695
BAJAJFINSV.NS,0.2867277942022346,0.36729161743224314,0.22031231143558105,0.26236096116249435,0.3665634526173702,0.1840053730168816,0.759200722036741,1.0,0.2908266719391535,0.20377287739284705,0.08566006757459343,0.2685493839755117,0.1438393449714152,0.1801266693419724,0.16097323334933997,0.3706455548594452,0.2197293609069887,0.31221599734862193,0.3308161288849678,0.23701556748539215,0.25217392780368236,0.10023594864313427,0.3751366677985848,0.41827990302952117,0.23221661501434143,0.1724649261373221,0.3453262297660156,0.26582239830363436,0.27839343564129615,0.32499259983456313,0.2836510974046032,0.2022596075366467,0.32190214288344626,0.2702226945102146,0.23103680088289286,0.3566856954127773,0.40649189332051033,0.4293865999102004,0.39457308000925984,0.17528248852144684,0.25269512857733417,0.34704146489436005,0.23624020148133468,0.1758534474827766,0.3750592263115098,0.22969731148688177,0.3616288272206568,0.2695019799725244
BEL.NS,0.33389515928161745,0.4846573477878441,0.2181186524174737,0.13669328107285567,0.3162942479608316,0.17971764433498857,0.21872939716770087,0.2908266719391535,1.0,0.260819197975298,0.13206480397894982,0.541522203086916,0.10931607903039962,0.2371336875012804,0.18587032208011847,0.3165219238533012,0.20734527293212254,0.2844267222009939,0.20519581863227063,0.15186866604441063,0.3604940247783669,0.039966518651691554,0.2754802276747828,0.3161965962997527,0.17206423320302258,0.1666029619515373,0.4132475896334776,0.24425664676897021,0.49188191780724616,0.35183627007792845,0.22350065953847356,0.11320381646131217,0.5375101954288898,0.5130776561049178,0.4990098032677249,0.4291941729964665,0.22613633107616973,0.5315467729320662,0.3489673304563179,0.14339979105500117,0.1816981176116936,0.4632408519630001,0.1374123849954986,0.19263851232535228,0.19230979857152666,0.26542726977153697,0.35140265321340697,0.2532428850364276
BHARTIARTL.NS,0.16687981658781142,0.2483318219414324,0.18953761666194482,0.11426721769056693,0.2362159667920361,0.24191416228968277,0.23146759890534144,0.20377287739284705,0.260819197975298,1.0,0.11356477507402982,0.2585944971581262,0.16348868883602136,0.2694781691930977,0.13525255844853862,0.2863830648305181,0.2375467688168692,0.2268583764276259,0.15936315836856985,0.1765748743505273,0.2576971194029907,0.141955805426753,0.3299194873487079,0.22071779676112577,0.24626250333805255,0.2287921961272317,0.3068059471511702,0.3367023976947849,0.2850300423892174,0.2492651364004379,0.2963337170640265,0.12391484605401913,0.2698260792080682,0.2876251032114337,0.22210715433288963,0.34648148892004726,0.24743403534097821,0.2598447220178549,0.24699556369810602,0.24135266602335873,0.24066294671408048,0.2837710310888138,0.1901075952392535,0.2225251189672479,0.23621220627170772,0.2025376249513081,0.26721726098456267,0.22815742495642588
