Ticker,Company,Weight,Sector,Selected
JSWSTEEL.NS,JSW Steel Limited,0.010216902429958518,Non-energy minerals,True
NTPC.NS,NTPC Limited,0.07930194002446894,Utilities,True
SBIN.NS,State Bank of India,0.08493869068910088,Finance,True
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,0.1499999999926013,Health technology,True
ONGC.NS,Oil & Natural Gas Corp. Ltd.,0.14999999994949656,Energy minerals,True
TITAN.NS,Titan Company Limited,0.10613876220528431,Consumer durables,True
ICICIBANK.NS,ICICI Bank Limited,0.14999999995872007,Finance,True
LICI.NS,Life Insurance Corp. of India,0.010000000012075641,Finance,True
HINDUNILVR.NS,Hindustan Unilever Limited,0.14999999998647012,Consumer non-durables,True
HDFCBANK.NS,HDFC Bank Limited,0.08940370472659666,Finance,True
AXISBANK.NS,Axis Bank Limited,0.010000000015584012,Finance,True
ULTRACEMCO.NS,UltraTech Cement Limited,0.010000000009643137,Non-energy minerals,True
KOTAKBANK.NS,Kotak Mahindra Bank Limited,0.0,Finance,False
ADANIPOWER.NS,Adani Power Limited,0.0,Utilities,False
ADANIPORTS.NS,Adani Ports & Special Economic Zone Ltd,0.0,Transportation,False
M&M.NS,Mahindra & Mahindra Ltd.,0.0,Consumer durables,False
BAJFINANCE.NS,Bajaj Finance Limited,0.0,Finance,False
LT.NS,Larsen & Toubro Limited,0.0,Industrial services,False
ITC.NS,ITC Limited,0.0,Consumer non-durables,False
ADANIENT.NS,Adani Enterprises Limited,0.0,Distribution services,False
INFY.NS,Infosys Limited,0.0,Technology services,False
BHARTIARTL.NS,Bharti Airtel Limited,0.0,Communications,False
RELIANCE.NS,Reliance Industries Limited,0.0,Energy minerals,False
HAL.NS,Hindustan Aeronautics Limited,0.0,Electronic technology,False
ETERNAL.NS,Eternal Limited,0.0,Technology services,False
BAJAJFINSV.NS,Bajaj Finserv Limited,0.0,Finance,False
HCLTECH.NS,HCL Technologies Limited,0.0,Technology services,False
TCS.NS,Tata Consultancy Services Limited,0.0,Technology services,False
MARUTI.NS,Maruti Suzuki India Limited,0.0,Consumer durables,False
